pubkey,balance,txn_count,total_transacted,total_fee,avg_txn,avg_fee_percent
AjkDc7bFGFswuCZctAjGATg2frAAX5fZUAjD8rvJeWnk,1316884413135,16,86948893750,80000,5434305859,9.200807112051382e-05
ApodfRwwPz6oLzuQwk4TYuxodiQL5HZdqaZ5sRAXQpjz,16873564705,20,57504946438,135000,2875247321,0.00023476241325701033
7fFcw6QVoA972jgfXWSNeqjMCpaKcgvrToMrm7sV7VRP,13576811310,4,40442307210,20000,10110576802,4.945316273908004e-05
A3au3DhJzWu4gkCYNGksqQNnbTHFXfPf1Avw8YGw8Tbi,14427512643,4,54412534405,20000,13603133601,3.6756236809587366e-05
5AdjXN1gCFTSDKKhbn4KDyGQ3ejrXw9Wr9wRvYdG4HRr,10605724000,2,32605729000,10000,16302864500,3.0669456892069494e-05
4VuPWp9tLukUD5GBfR5ajjyETKvzSRMaGzXcDhd4UrMq,5963407227,34,91300690571,170000,2685314428,0.0001861979344699474
84E9tfnJJiv5u48cBrUqdV6ca8eFXref4HD7umSGMtjd,4166602214413,12,65290726730,60000,5440893894,9.189666435805041e-05
62f3dUkRZdb6WwZqD6aDzbUeC93bznTQMSrjQUR5QuUu,17655432368,61,167538995368,390000,2746540907,0.00023278162743149057
4ay7sWB3FTtaoDpWmHSVLgDvut6dkBeUBFbFqVqpkeMs,2930079623611,8,47538364280,40000,5942295535,8.414256696844009e-05
14WsGf5TuFV1Z4TqiZVZuAb8ZrmD5C3yjCtLZuH2qB5f,3338013058253,10,113243400232,50000,11324340023,4.415268342134356e-05
7zGiGoyEda5ahNrdoAupoLQXyVYSAfiqyAnHuF86WVAr,892937271215,7,49779133455,35000,7111304779,7.031058512024874e-05
ArgfiBSrg3PceQGMkzbdqPVgj9mYUwFUjKVchYBB1DGp,14813684610,10,123263151980,50000,12326315198,4.056362278332191e-05
f87LNumpUUeFa5RAtjuTnZ1jfKB6wFYrrx7gCtCYGPE,370090235881,8,59570799840,45000,7446349980,7.554036561681995e-05
5122UFZBb4QUBR2hehk64baJdmCHrqZGFm7nuQ1Nhh5U,1548786021868,5,101621912606,25000,20324382521,2.4600993387054143e-05
ABevpvrrKFkwqVyMQdPhUnEfkifbbL45nopVTVZ4V9Bf,5215558050,7,42863662630,35000,6123380375,8.165424476699694e-05
CZ2MLCbxRkGJMfViB8aqeqVkVCqBAJTjR9tofLMazqDy,2044425062010,4,23104271705,20000,5776067926,8.656407895199656e-05
9iisqNzhv5UEUPGHM3Kxm2nzoQqimjt8hUpkvnomjUEC,10843976696,7,75331940088,35000,10761705726,4.6461036260468384e-05
9sEaEwoLXpDfm5F6dXaYRLsZ1a8GzBvEukRSDR7eUSY5,322357521382,4,34201802530,20000,8550450632,5.847645012995168e-05
6TraBqB3jpo6UxpPcpvJ6Bey9HNKQh89g3CsrmNbG2MK,4943348028,4,36641809344,20000,9160452336,5.458245746610476e-05
93J3fAvGeXEvCntdCDsMHuYSGSeYgfUKP32q2gTpWuwn,3994015122223,3,31237920965,15000,10412640321,4.8018560571961544e-05
6E9q739XUaWWE1nM4XeesgauJnuUJXcR33hVb4icTrv4,10427943225,2,31263834675,10000,15631917337,3.198583956176195e-05
